,Title,Innovation_gold,Innovation
1,sega takes another dive into nostalgia with the game gear micro,game gear micro,game gear micro
2,fovno car top rack combines electric suction with an upside down bike,car top rack combines electric suction with an upside down bike,fovno car top rack
3,sony reveals shapely new playstation 5 controller,playstation 5 controller,shapely new playstation 5 controller
4,world s strongest steady magnetic field generated in china,strongest steady magnetic field,none
5,nanopillared lenses let scientists trap individual atoms with light,nanopillared lenses,nanopillared lenses
6,electron whirlpools scientists witness electricity behaving like water,electron whirlpools,electron whirlpools
7,firing lasers at the moon to detect early universe gravitational waves,firing lasers at the moon,none
8,harvard scientists observe new state of matter a quantum spin liquid,new state of matter a quantum spin liquid,quantum spin liquid
9,time crystals created in google s quantum processor,time crystals,quantum processor
10,triple entanglement in silicon marks major quantum computer breakthrough,triple entanglement in silicon marks,triple entanglement in silicon
11,new antimatter trap could help explain why cosmos didn t self destruct,new antimatter trap,antimatter trap
12,heat activated hydrogel could stop battlefield bleeds,heat activated hydrogel,heat activated hydrogel
13,hasselblad unleashes 100 mp mirrorless medium format prosumer monster,100 mp mirrorless medium format prosumer monster,hasselblad unleashes 100 mp mirrorless medium format prosumer monster
14,swallowable sensor transmits live reports on intestinal glucose levels,swallowable sensor,swallowable sensor
15,samsung display shows off the foldable rollable screens of the future,foldable rollable screens,none
16,three legged marm robot could soon be tending to spacecraft in orbit,three legged marm robot,three legged marm robot
17,forabot robot searches through tiny shells from prehistoric times,forabot robot,forabot
18,robotic microfingers allow scientists to get a feel for tiny objects,robotic microfingers,robotic microfingers
19,luxonis puts a powerful rolling robotics lab in your pocket,rolling robotics lab,rolling robotics lab
20,xr r1 brings hexapod robotics to tech savvy consumers,hexapod robotics,none
21,inside out asteroids a practical method for creating space habitats,inside out asteroids,inside out asteroids
22,ar system brings holographic board games to the table,holographic board games,ar system
23,fujifilm launches 40 fps stills 6 2k video x series mirrorless camera,40 fps stills 6 2k video x series mirrorless camera,40 fps stills 6 2k video x series mirrorless camera
24,ai driven combat drone can search buildings and execute suicide attacks,ai driven combat drone,ai driven combat drone
25,long range robotic submarine sweeps the waters for days at a time,long range robotic submarine,long range robotic submarine
26,cambridge audio reveals next gen alva tt aptx hd bluetooth turntable,next gen alva tt aptx hd bluetooth turntable,alva tt aptx hd bluetooth turntable
27,airbag bike helmet boasts better protection of cyclists noggins,airbag bike helmet,airbag bike helmet
28,hairpins made of artificial dna clasp and kill cancer,hairpins made of artificial dann,hairpins
29,nons sl645 brings on full metal full manual instant film photography,full metal full manual instant film photography,nons sl645
30,raf makes world s first military flight entirely on sustainable fuel,military flight entirely on sustainable fuel,sustainable fuel
31,honor s next gen foldable phone to be available beyond china,next gen foldable phone,none
32,r de launches plug and play condenser microphone with built in preamp,plug and play condenser microphone with built in preamp,plug and play condenser microphone
33,leica doubles camera resolution for second gen leitz phone,doubles camera resolution for second gen leitz phone,leica doubles camera resolution
34,xiaomi puts a leica lens twist on flagship phone concept,leica lens twist on flagship phone concept,leica lens twist
35,lenovo rolls out smartphone and laptop concepts with expanding displays,smartphone and laptop concepts with expanding displays,none
36,apple unveils completely redesigned ipad and supercharged ipad pro,completely redesigned ipad supercharged ipad pro,none
37,google announces sharper shooting pixel 7 and 7 pro smartphones,sharper shooting pixel 7 7 pro smartphones,sharper shooting pixel 7 and 7 pro smartphones
38,xiaomi joins the 200 mp camera party with launch of 12t pro handset,launch of 12t pro handset,12t pro handset
39,motorola goes camera crazy with 200 megapixel edge 30 ultra smartphone,camera with 200 megapixel edge 30 ultra smartphone,none
40,iphone 14 pro and pro max pack fastest processor in any phone,iphone 14 pro and pro max pack fastest processor,none
41,sony crams flagship camera tech in latest premium compact,flagship camera,flagship camera tech
42,could third time be the charm for iconic razr flip phone reboot,iconic razr flip phone reboot,none
43,amazon says its new delivery drone will fly through light rain,new delivery drone will fly through light rain,delivery drone
44,potentially life saving drone features edible rice cake wings,life saving drone features edible rice cake wings,edible rice cake wings
45,dji flies out more affordable hasselblad packing mavic 3 camera drone,hasselblad packing mavic 3 camera drone,none
46,bee inspired technology uses aerial drones to 3d print structures,aerial drones to 3d print structures,bee inspired technology
47,undefined claims 4 5 min flight for its silent ion propulsion drone,silent ion propulsion drone,ion propulsion drone
48,passive tilting rotors shown to boost drone speed and efficiency,passive tilting rotors,passive tilting rotors
49,dji flies out avata fpv drone together with new goggles and controller,avata fpv drone,avata fpv drone
50,crash defying quadcopter lands on rooftops pitched at up to 60 degrees,crash defying quadcopter,quadcopter
51,spacex launches starshield satellite service for national security,starshield satellite service,starshield satellite service
52,nasa s ingenuity helicopter sets an altitude record on mars,ingenuity helicopter sets an altitude record on mars,ingenuity helicopter
53,construction begins on the world s largest radio observatory,construction begins on the world s largest radio observatory,construction begins on the world s largest radio observatory
54,scientists beef up search for alien life with powerful new supercomputer,powerful new supercomputer,none
55,orion spacecraft leaves lunar orbit and heads for home,orion spacecraft,orion spacecraft
56,artemis 1 mission breaks record for farthest human rated spacecraft,farthest human rated spacecraft,artemis 1 mission
57,rotel launches its first integrated network streamer,integrated network streamer,integrated network streamer player
58,philips snuggles close to the wall with 4k ust laser projector,4k ust laser projector,4k ust laser projector
59,devialet portable speaker adapts audio output to the room it s in,devialet portable speaker,none
60,triple laser 4k ust projector aims for lights on color accuracy,triple laser 4k ust projector,triple laser 4k ust projector
61,sony lays claim to the smallest 3lcd laser projectors in the world,smallest 3lcd laser projectors,3lcd laser projectors
62,space saving turntable system includes room filling speakers,room filling speakers,turntable system
63,dallas debut for 136 inch 4k micro led luxury television,136 inch 4k micro led luxury television,none
64,pocket friendly pico projector makes for movie watching flexibility,pocket friendly pico projector,pocket friendly pico projector
65,epson games large with latest home cinema 4k projector,home cinema 4k projector,home cinema 4k projector
66,optoma gets in the game with responsive 4k gaming projector,responsive 4k gaming projector,responsive 4k gaming projector
67,victrola s latest turntable can stream directly to sonos speakers,stream directly to sonos speakers,none
68,hisense adds cheaper ust projector to trichroma laser tv lineup,ust projector to trichroma laser tv lineup,cheaper ust projector
69,epson gets real close to the wall with super ust laser projector,super ust laser projector,super ust laser projector
70,leica launches its first own brand 4k ust laser projector,4k ust laser projector,4k ust laser projector
71,stanford s extra salty electrolyte makes for flameproof batteries,flameproof batteries,extra salty electrolyte
72,revolutionary photocatalyst is huge news for green hydrogen and ammonia,green hydrogen and ammonia,photocatalyst
73,mit advance paves way for high density batteries that handle stress,high density batteries,high density batteries
74,hybrid ultracap battery promises 72 second city ev charging,hybrid ultracap battery,ultracap battery
75,world s first electric lithium mine birth of an american supply chain,electric lithium mine,electric lithium mine
76,all perovskite tandem solar cell boasts high efficiency record voltage,all perovskite tandem solar cell,all perovskite tandem solar cell
77,light powered catalyst makes profitable hydrogen from stinky waste gas,light powered catalyst,light powered catalyst
78,doogee launches rugged mid ranger with monster battery,rugged mid ranger with monster battery,rugged mid ranger
79,yaber puts a phone sized pico projector in your pocket,phone sized pico projector,phone sized pico projector
80,asus powers the next generation of mobile gamers with rog phone 6 launch,rog phone 6,none
81,xiaomi gives mobile photography a boost with launch of 12s ultra,12s ultra,12s ultra high resolution camera
82,xiaomi targets mobile workers with snapdragon powered 2 in 1 convertible,snapdragon powered 2 in 1 convertible,snapdragon powered 2 in 1 convertible laptops
83,google unveils pixel 6a phone pro earbuds and its first smartwatch,pixel 6a phone pro earbuds and its first smartwatch,pixel 6a phone pro earbuds and its first smartwatch
84,sony s latest flagship smartphone sports true optical zoom camera,true optical zoom camera,true optical zoom camera
85,ik launches versatile field ready audio interface and mixer,field ready audio interface and mixer,none
86,dji flies into vlog territory with clip on microphone system,clip on microphone system,dji vlogging
87,pine64 offers a more premium mobile linux experience with pinephone pro,premium mobile linux experience with pinephone pro,pinephone pro
88,oneplus 10 pro flagship boasts second gen hasselblad imaging,second gen hasselblad imagin,second gen hasselblad imaging
89,oledcomm lights the way with li fi enabled android tablet,li fi enabled android tablet,li fi
90,huawei turns up the bling for p50 pocket folding smartphone,p50 pocket folding smartphone,none
91,oppo teases upcoming smartphone with pop out camera module,smartphone with pop out camera module,pop out camera module
92,dji gives latest smartphone gimbal a built in selfie stick,built in selfie stick,selfie stick
93,samsung shows working prototype of flex in out display,flex in out display,flex in out display
94,samsung unfurls new fold and flip phones and first under display camera,first under display camera,none
95,fujifilm covers all the angles with rotating lens business projector,rotating lens business projector,rotating lens business projector
96,honor 6x smartphone offers dual lens portrait photography,dual lens portrait photography,dual lens portrait photography
97,fujifilm goes big with a mirrorless medium format camera,mirrorless medium format camera,mirrorless medium format camera
98,relonch camera uses ai to process your photos for 99 per month,relonch camera,relonch camera
99,hasselblad ramps up the detail with 400 mp multi shot camera,400 mp multi shot camera,400 mp multi shot camera
